Source,Target,Weight,Type
221Addie_GranddadandPops,221Addie_TheSlap,6,undirected
221Addie_GranddadandPops,EventHorizon_NotQuiteaCountryHoliday,1,undirected
221Addie_GranddadandPops,okapi_Cheers,2,undirected
221Addie_TheSlap,221Addie_GranddadandPops,6,undirected
221Addie_TheSlap,AmbiguousMorals_CapturedInaPrecariousSituation,1,undirected
221Addie_TheSlap,AmbiguousMorals_TwoYearsLater,2,undirected
221Addie_TheSlap,Lizard501_TheCollegeDays,1,undirected
AMAZINGmadness_Alike,AmbiguousMorals_CapturedInaPrecariousSituation,4,undirected
AMAZINGmadness_Alike,AmbiguousMorals_TwoYearsLater,5,undirected
AMAZINGmadness_Alike,Lizard501_TheForger,3,undirected
AMAZINGmadness_ItMayBeRage,Lizard501_TheCollegeDays,2,undirected
AMAZINGmadness_ItMayBeRage,Lizard501_TheForger,1,undirected
AMAZINGmadness_ItMayBeRage,okapi_FromthePenofInkyQuill,3,undirected
AmbiguousMorals_CapturedInaPrecariousSituation,221Addie_TheSlap,1,undirected
AmbiguousMorals_CapturedInaPrecariousSituation,AMAZINGmadness_Alike,4,undirected
AmbiguousMorals_CapturedInaPrecariousSituation,AmbiguousMorals_TwoYearsLater,6,undirected
AmbiguousMorals_TwoYearsLater,221Addie_TheSlap,2,undirected
AmbiguousMorals_TwoYearsLater,AMAZINGmadness_Alike,5,undirected
AmbiguousMorals_TwoYearsLater,AmbiguousMorals_CapturedInaPrecariousSituation,6,undirected
AmbiguousMorals_TwoYearsLater,Lizard501_TheCollegeDays,3,undirected
AmbiguousMorals_TwoYearsLater,Lizard501_TheForger,1,undirected
EventHorizon_InFineSpirits,EventHorizon_NotQuiteaCountryHoliday,6,undirected
EventHorizon_InFineSpirits,okapi_Bees&OtherStories,3,undirected
EventHorizon_InFineSpirits,okapi_FromthePenofInkyQuill,2,undirected
EventHorizon_NotQuiteaCountryHoliday,221Addie_GranddadandPops,1,undirected
EventHorizon_NotQuiteaCountryHoliday,EventHorizon_InFineSpirits,6,undirected
EventHorizon_NotQuiteaCountryHoliday,okapi_Bees&OtherStories,2,undirected
EventHorizon_NotQuiteaCountryHoliday,okapi_FromthePenofInkyQuill,1,undirected
Lizard501_TheCollegeDays,221Addie_TheSlap,1,undirected
Lizard501_TheCollegeDays,AMAZINGmadness_ItMayBeRage,2,undirected
Lizard501_TheCollegeDays,AmbiguousMorals_TwoYearsLater,3,undirected
Lizard501_TheCollegeDays,Lizard501_TheForger,6,undirected
Lizard501_TheCollegeDays,okapi_Cheers,2,undirected
Lizard501_TheForger,AMAZINGmadness_Alike,3,undirected
Lizard501_TheForger,AMAZINGmadness_ItMayBeRage,1,undirected
Lizard501_TheForger,AmbiguousMorals_TwoYearsLater,1,undirected
Lizard501_TheForger,Lizard501_TheCollegeDays,6,undirected
okapi_Bees&OtherStories,EventHorizon_InFineSpirits,3,undirected
okapi_Bees&OtherStories,EventHorizon_NotQuiteaCountryHoliday,2,undirected
okapi_Bees&OtherStories,okapi_Cheers,5,undirected
okapi_Bees&OtherStories,okapi_FromthePenofInkyQuill,6,undirected
okapi_Cheers,221Addie_GranddadandPops,2,undirected
okapi_Cheers,Lizard501_TheCollegeDays,2,undirected
okapi_Cheers,okapi_Bees&OtherStories,5,undirected
okapi_Cheers,okapi_FromthePenofInkyQuill,4,undirected
okapi_FromthePenofInkyQuill,AMAZINGmadness_ItMayBeRage,3,undirected
okapi_FromthePenofInkyQuill,EventHorizon_InFineSpirits,2,undirected
okapi_FromthePenofInkyQuill,EventHorizon_NotQuiteaCountryHoliday,1,undirected
okapi_FromthePenofInkyQuill,okapi_Bees&OtherStories,6,undirected
okapi_FromthePenofInkyQuill,okapi_Cheers,4,undirected
